食品番号,理由,スコア
01006,大麦の押麦は良質な炭水化物と食物繊維の供給源で犬の素材として適している,8
10324,ゆでた桜えびは加熱済みの良質な魚介タンパクで素材として利用可能（殻は除去前提）,9
18020,えびフライは衣や油、調味料を含む複合調理品で加工度が高く素材としては注意が必要,3
10103,生のまこがれいは寄生虫や細菌のリスクがあるため生食では注意が必要,6
07173,まくわうりは果肉は安全でビタミンや水分補給に適した果実素材,8
08059,栽培マッシュルーム（ブラウン種）は一般に安全なきのこで犬の素材として使用可能,8
17028,顆粒和風だしは風味付けとして使えるが塩分や添加物を含む可能性があるため量に注意,5
03029,黒蜜は糖分が高い甘味料だが少量であれば風味付けとして使用可能,6
06016,ゆで枝豆は加熱済みの大豆で良質な植物性タンパク源として利用できる（さやは除去）,8
06233,生の白菜の結球葉はビタミン・食物繊維の供給源として犬に与えて問題ない,8
02065,皮つきフライドポテトは油や塩分を多く含む加工食品で素材としては注意が必要,4
03002,和三盆糖は安全な砂糖類だが甘味料としての使用は量に注意,6
06291,生の緑豆もやしは生食時に細菌汚染リスクがあるため生のままでは注意が必要,4
11308,フライされたウインナーソーセージは加工肉で添加物や脂質が多く素材としては注意が必要,3
11196,豚のレバーペーストは栄養価が高いが加工品で調味や濃縮があるため使用量に配慮が必要,6
06062,ゆでたキャベツは加熱済みで消化に配慮された野菜として犬の素材に適している,9
10447,サケ節（削り節）は魚由来の旨味とタンパク源として利用可能だが加工品で風味が濃い,8
10049,焼いたまいわしは良質な加熱済みの魚で犬のレシピ素材として適している（骨は除去）,9
16020,ラムはアルコールを含み犬には有害なため絶対禁忌である,1
06107,しろうりの塩漬けは漬物で塩分が高く加工品として扱いに注意が必要,5
11050,加熱済みの牛もも肉は良質なタンパク源で犬のレシピ素材として適している。,10
11316,ベーコンは加工品で脂肪・塩分や強い味付けがあるため使用に注意が必要。,5
10069,白焼きのうなぎは加熱済みで良質なタンパク質・脂肪源として適している。,9
01121,道明寺粉（もち米製品）は炭水化物源として利用できる素材である。,8
15129,カレーパンの具は複合的な調味・香辛料や加工成分が含まれることが多く注意が必要。,3
09005,味付けのりは海藻としてミネラル源になるが味付けがあるため量に注意。,7
06029,塩漬けの野菜は野菜自体は素材として使えるが塩分が高めで注意が必要。,6
06278,生の糸みつばは香味野菜として少量であれば犬の素材に利用できる。,8
