food_number,food_name,embedding_text
01001,アマランサス　玄穀,amaranth あまらんさす あまらんさすしーど アマランサス アマランサスシード 玄穀
01002,あわ　精白粒,awa millet あわ あわ米 アワ アワ米 粟 精白粒
01004,えんばく　オートミール,oat oatmeal えんばく エンバク オーツ オートミール 燕麦
01005,おおむぎ　七分つき押麦,barley rolled rolled barley おおむぎ おしむぎ むぎ オオムギ オシムギ 七分つき押麦 大麦 押麦 麦
01006,おおむぎ　押麦　乾,barley rolled rolled barley おおむぎ おしむぎ むぎ オオムギ オシムギ 乾 大麦 押麦 麦
01170,おおむぎ　押麦　めし,barley rolled rolled barley おおむぎ おしむぎ むぎ めし オオムギ オシムギ 大麦 押麦 麦
01007,おおむぎ　米粒麦,barley pearl pearl barley おおむぎ こめつぶむぎ オオムギ コメツブムギ 大麦 米粒麦
01008,おおむぎ　大麦めん　乾,barley barley noodle noodle おおむぎ おおむぎめん オオムギメン 乾 大麦めん 大麦麺 麦めん
01009,おおむぎ　大麦めん　ゆで,barley barley noodle noodle おおむぎ おおむぎめん ゆで オオムギメン 大麦めん 大麦麺 麦めん
01010,おおむぎ　麦こがし,barley barley flour flour mugikogashi roasted roasted barley おおむぎ むぎこがし ムギコガシ 麦こがし
01167,キヌア　玄穀,quinoa きぬあ きぬあしーど キヌア キヌアシード 玄穀
01011,きび　精白粒,kibi millet きび きび米 キビ キビ米 精白粒 黍
01012,こむぎ　［玄穀］　国産　普通,grain wheat こむぎ コムギ 国産 小麦 小麦粒 普通 玄穀
01013,こむぎ　［玄穀］　輸入　軟質,grain wheat こむぎ コムギ 小麦 小麦粒 玄穀 軟質 輸入
01014,こむぎ　［玄穀］　輸入　硬質,cake cake flour flour こむぎ こむぎこ はくりきこ コムギ コムギコ ハクリキコ 小麦 小麦粉 玄穀 硬質 薄力粉 輸入
01015,こむぎ　［小麦粉］　薄力粉　1等,1等 cake cake flour flour こむぎ こむぎこ はくりきこ コムギ コムギコ ハクリキコ 小麦 小麦粉 薄力粉
