食品番号,理由,スコア
01006,大麦の押麦は消化性の良い炭水化物と食物繊維が豊富で犬のレシピ素材に適する,9
10324,さくらえびは良質なたんぱく源だが甲殻類アレルギーがある犬がいる点に注意,8
18020,えびフライは揚げ衣や高脂質・調味料がある加工食品で素材としては不向き,4
10103,まこがれい（生）はたんぱく源として良いが生魚は寄生虫や安全性の懸念があるため加熱が望ましい,7
07173,まくわうり（果肉）は水分と微量栄養素があり犬に与えて問題ない果物素材,8
08059,栽培マッシュルームは一般に安全でビタミン・繊維源として使いやすい,8
17028,顆粒和風だしは塩分や調味料が多く、単体の主素材としては適さない,5
03029,黒蜜は糖分が主体の甘味料で主要素材としては向かない,5
06016,えだまめ（ゆで）は大豆由来のたんぱく質源で加熱済みのため与えやすい,7
06233,はくさいはビタミンや食物繊維が豊富で犬のレシピ素材として適する,9
02065,皮つきフライドポテトは揚げ物で脂質や塩分が高く、素材としては不向き,4
03002,和三盆糖は純粋な糖類で主要素材には向かない,5
06291,りょくとうもやしは低カロリーで使いやすい野菜素材,8
11308,ウインナーソーセージ（フライ）は加工肉で添加物や塩分・脂質が多く素材として適さない,3
11196,レバーペーストは栄養密度が高いが加工品で脂質や調味が強い点に注意,6
06062,ゆでキャベツは消化しやすくビタミンや食物繊維があり良い素材,9
10447,サケ節（削り節）は魚由来の旨味とたんぱく質があり犬のレシピ素材に適する,8
10049,焼きまいわしは良質なたんぱく質と脂肪酸を含み適した素材（骨類は除去済み）,9
16020,ラム（蒸留酒）はアルコールを含み犬にとって毒性があるため絶対に与えられない,1
06107,しろうりの塩漬けは塩分や漬け調味が強く、素材としては適さない,5
11050,加熱された牛もも肉で良質なタンパク源。犬のレシピ素材として適している。,9
11316,ベーコンは加工肉で塩分や脂質が高め。調理済みの加工品として注意が必要。,4
10069,白焼きのうなぎは良質なタンパク・脂質源で犬のレシピに適している。,9
01121,道明寺粉は消化しやすい炭水化物源として利用可能な米加工品。,7
15129,カレーパンの具は複合調理済みで香辛料や玉ねぎ等が含まれる場合があり注意が必要。,3
09005,味付けのりは海苔自体は利用可能だが、味付けの調味に注意が必要。,7
06029,塩漬けの葉野菜で野菜自体は安全だが塩分が付与されている点に注意が必要。,5
06278,糸みつばの葉は香味野菜として利用できる安全な素材。,8
10414,焼きほたて貝柱は良質な低脂肪タンパク源で犬のレシピに適している。,9
06341,トマト・にんじん等の無塩ミックスジュースは野菜由来で使用可能だが濃度や酸味に配慮が必要。,7
07184,黄肉種のもも果肉は犬に与えやすい果物（種・皮は除去）。,8
06283,めキャベツは野菜として安全に使える。調理法で消化性が向上する。,8
13024,粉末状のコーヒーホワイトナーは植物性のクリームで高脂質の加工品。少量での使用に留める方が良い。,5
10355,くん製のいかは燻製加工により塩分や添加物が高くなりやすいため注意が必要。,4
03030,てんさい含蜜糖は糖分が主成分のためエネルギー源としては使えるが多量は避けるべき。,6
01131,とうもろこしは消化性の良い炭水化物源として犬のレシピ素材に適している。,8
11268,輸入牛のリブロース焼きは良質なタンパク源であるが脂身が多い点に配慮が必要。,9
06284,めキャベツのゆでは加熱により消化しやすく、犬の食材として適している。,8
02019,皮なしの水煮じゃがいもは加熱され消化性が良い炭水化物源で使用可能。,8
10323,養殖くるまえび焼きは加熱された良質なタンパク源。殻や尾は除去して使うとよい。,8
